"Secuencia","Longitud_bp","Coincidencias_Hebra_Directa","Coincidencias_Hebra_Reversa","Total_Motivos"
"KC118541.2 Acinetobacter baumannii strain G7 KL17 capsule biosynthesis locus; insertion sequence ISAba1; AmpC (ampC) gene, complete cds; and OCL1 outer-core oligosaccharide biosynthesis locus",41939,0,1,1
"AB016611.1 Enterobacter cloacae ampC gene, complete cds",1260,0,0,0
"lcl|U00096.3_cds_AAC77110.1_4073 [gene=ampC] [locus_tag=b4150] [db_xref=UniProtKB  (1134 bp)",1134,0,0,0
